ID,TipoConstrução,Zoneamento,FrenteLote,AreaLote,Rua,ConfigLote,Vizinhanca,TipoImovel,EstiloCasa,QualidadeGeral,CondicaoGeral,AnoConstrucao,AnoReforma,QualidadeExterior,CondicaoExterior,Fundacao,QualiPorao,CondiPorao,AreaTotalPorao,AreaHabitavel,NumeroQuarto,NumeroCozinha,TotalComodos,NumeroVagas,AreaVagas,AnoVenda,PrecoVenda
23,20,Residencial_Baixa,75.0,9742,Pavimentada,Interno,CollgCr,Casa Unifamiliar,Um Andar,8,5,2002,2002,Boa,Media,Concreto Vazado,Boa,Media,1777.0,1795,3,1,7,2.0,534.0,2008,230000.0
24,120,Residencial_Media,44.0,4224,Pavimentada,Interno,MeadowV,Casa Geminada - final fileira,Um Andar,5,7,1976,1976,Media,Media,Concreto Vazado,Boa,Media,1040.0,1060,3,1,6,2.0,572.0,2007,129900.0
25,20,Residencial_Baixa,,8246,Pavimentada,Interno,Sawyer,Casa Unifamiliar,Um Andar,5,8,1968,2001,Media,Boa,Blocos de Concreto,Media,Media,1060.0,1060,3,1,6,1.0,270.0,2010,154000.0
26,20,Residencial_Baixa,110.0,14230,Pavimentada,Esquina,NridgHt,Casa Unifamiliar,Um Andar,8,5,2007,2007,Boa,Media,Concreto Vazado,Boa,Media,1566.0,1600,3,1,7,3.0,890.0,2009,256300.0
27,20,Residencial_Baixa,60.0,7200,Pavimentada,Esquina,NAmes,Casa Unifamiliar,Um Andar,5,7,1951,2000,Media,Media,Blocos de Concreto,Media,Media,900.0,900,3,1,5,2.0,576.0,2010,134800.0
28,20,Residencial_Baixa,98.0,11478,Pavimentada,Interno,NridgHt,Casa Unifamiliar,Um Andar,8,5,2007,2008,Boa,Media,Concreto Vazado,Excelente,Media,1704.0,1704,3,1,7,3.0,772.0,2010,306000.0
29,20,Residencial_Baixa,47.0,16321,Pavimentada,Fim de Rua,NAmes,Casa Unifamiliar,Um Andar,5,6,1957,1997,Media,Media,Blocos de Concreto,Media,Media,1484.0,1600,2,1,6,1.0,319.0,2006,207500.0
30,30,Residencial_Media,60.0,6324,Pavimentada,Interno,BrkSide,Casa Unifamiliar,Um Andar,4,6,1927,1950,Media,Media,Tijolos e Pedra,Media,Media,520.0,520,1,1,4,1.0,240.0,2008,68500.0
31,70,Comercial,50.0,8500,Pavimentada,Interno,IDOTRR,Casa Unifamiliar,Dois Andar,4,4,1920,1950,Media,Razoavel,Tijolos e Pedra,Media,Media,649.0,1317,3,1,6,1.0,250.0,2008,40000.0
32,20,Residencial_Baixa,,8544,Pavimentada,Fim de Rua,Sawyer,Casa Unifamiliar,Um Andar,5,6,1966,2006,Media,Media,Blocos de Concreto,Media,Media,1228.0,1228,3,1,6,1.0,271.0,2008,149350.0
33,20,Residencial_Baixa,85.0,11049,Pavimentada,Esquina,CollgCr,Casa Unifamiliar,Um Andar,8,5,2007,2007,Boa,Media,Concreto Vazado,Excelente,Media,1234.0,1234,3,1,7,2.0,484.0,2008,179900.0
34,20,Residencial_Baixa,70.0,10552,Pavimentada,Interno,NAmes,Casa Unifamiliar,Um Andar,5,5,1959,1959,Media,Media,Blocos de Concreto,Media,Media,1398.0,1700,4,1,6,2.0,447.0,2010,165500.0
35,120,Residencial_Baixa,60.0,7313,Pavimentada,Interno,NridgHt,Casa Geminada - final fileira,Um Andar,9,5,2005,2005,Excelente,Media,Concreto Vazado,Excelente,Media,1561.0,1561,2,1,6,2.0,556.0,2007,277500.0
36,60,Residencial_Baixa,108.0,13418,Pavimentada,Interno,NridgHt,Casa Unifamiliar,Dois Andar,8,5,2004,2005,Boa,Media,Concreto Vazado,Excelente,Media,1117.0,2452,4,1,9,3.0,691.0,2006,309000.0
37,20,Residencial_Baixa,112.0,10859,Pavimentada,Esquina,CollgCr,Casa Unifamiliar,Um Andar,5,5,1994,1995,Media,Media,Concreto Vazado,Boa,Media,1097.0,1097,3,1,6,2.0,672.0,2009,145000.0
38,20,Residencial_Baixa,74.0,8532,Pavimentada,Interno,NAmes,Casa Unifamiliar,Um Andar,5,6,1954,1990,Media,Media,Blocos de Concreto,Media,Media,1297.0,1297,3,1,5,2.0,498.0,2009,153000.0
39,20,Residencial_Baixa,68.0,7922,Pavimentada,Interno,NAmes,Casa Unifamiliar,Um Andar,5,7,1953,2007,Media,Boa,Blocos de Concreto,Media,Media,1057.0,1057,3,1,5,1.0,246.0,2010,109000.0
40,90,Residencial_Baixa,65.0,6040,Pavimentada,Interno,Edwards,Duplex,Um Andar,4,5,1955,1955,Media,Media,Concreto Vazado,,,0.0,1152,2,2,6,0.0,0.0,2008,82000.0
41,20,Residencial_Baixa,84.0,8658,Pavimentada,Interno,NAmes,Casa Unifamiliar,Um Andar,6,5,1965,1965,Media,Media,Blocos de Concreto,Media,Media,1088.0,1324,3,1,6,2.0,440.0,2006,160000.0
42,20,Residencial_Baixa,115.0,16905,Pavimentada,Interno,Timber,Casa Unifamiliar,Um Andar,5,6,1959,1959,Media,Boa,Blocos de Concreto,Media,Media,1350.0,1328,2,1,5,1.0,308.0,2007,170000.0
43,85,Residencial_Baixa,,9180,Pavimentada,Fim de Rua,SawyerW,Casa Unifamiliar,Foyer Dividido,5,7,1983,1983,Media,Media,Blocos de Concreto,Boa,Media,840.0,884,2,1,5,2.0,504.0,2007,144000.0
44,20,Residencial_Baixa,,9200,Pavimentada,Fim de Rua,CollgCr,Casa Unifamiliar,Um Andar,5,6,1975,1980,Media,Media,Blocos de Concreto,Boa,Media,938.0,938,3,1,5,1.0,308.0,2008,130250.0
45,20,Residencial_Baixa,70.0,7945,Pavimentada,Interno,NAmes,Casa Unifamiliar,Um Andar,5,6,1959,1959,Media,Media,Blocos de Concreto,Media,Media,1150.0,1150,3,1,6,1.0,300.0,2006,141000.0
46,120,Residencial_Baixa,61.0,7658,Pavimentada,Interno,NridgHt,Casa Geminada - final fileira,Um Andar,9,5,2005,2005,Excelente,Media,Concreto Vazado,Excelente,Media,1752.0,1752,2,1,6,2.0,576.0,2010,319900.0
47,50,Residencial_Baixa,48.0,12822,Pavimentada,Fim de Rua,Mitchel,Casa Unifamiliar,Um e Meio Andar Finalizado,7,5,2003,2003,Boa,Media,Concreto Vazado,Excelente,Media,1434.0,2149,1,1,6,2.0,670.0,2009,239686.0
48,20,Residencial_Alta_Vila,84.0,11096,Pavimentada,Interno,Somerst,Casa Unifamiliar,Um Andar,8,5,2006,2006,Boa,Media,Concreto Vazado,Boa,Media,1656.0,1656,3,1,7,3.0,826.0,2007,249700.0
49,190,Residencial_Media,33.0,4456,Pavimentada,Interno,OldTown,Conversao duas familias,Dois Andar,4,5,1920,2008,Media,Media,Tijolos e Pedra,Media,Media,736.0,1452,2,3,8,0.0,0.0,2009,113000.0
50,20,Residencial_Baixa,66.0,7742,Pavimentada,Interno,Sawyer,Casa Unifamiliar,Um Andar,5,7,1966,1966,Media,Media,Blocos de Concreto,Media,Media,955.0,955,3,1,6,1.0,386.0,2007,127000.0
51,60,Residencial_Baixa,,13869,Pavimentada,Esquina,Gilbert,Casa Unifamiliar,Dois Andar,6,6,1997,1997,Media,Media,Concreto Vazado,Boa,Media,794.0,1470,3,1,6,2.0,388.0,2007,177000.0
52,50,Residencial_Media,52.0,6240,Pavimentada,Interno,BrkSide,Casa Unifamiliar,Um e Meio Andar Finalizado,6,6,1934,1950,Media,Media,Concreto Vazado,Media,Media,816.0,1176,3,1,6,2.0,528.0,2006,114500.0
53,90,Residencial_Media,110.0,8472,Terra,Esquina,IDOTRR,Duplex,Um Andar,5,5,1963,1963,Razoavel,Media,Blocos de Concreto,Boa,Media,816.0,816,2,1,5,2.0,516.0,2010,110000.0
55,80,Residencial_Baixa,60.0,7134,Pavimentada,Interno,NAmes,Casa Unifamiliar,Nivel Dividido,5,5,1955,1955,Media,Media,Blocos de Concreto,Media,Media,384.0,1360,3,1,6,2.0,572.0,2007,130000.0
56,20,Residencial_Baixa,100.0,10175,Pavimentada,Interno,NAmes,Casa Unifamiliar,Um Andar,6,5,1964,1964,Media,Media,Blocos de Concreto,Media,Media,1425.0,1425,3,1,7,2.0,576.0,2008,180500.0
57,160,Residencial_Alta_Vila,24.0,2645,Pavimentada,Interno,Somerst,Casa Geminada - meio de fileira,Dois Andar,8,5,1999,2000,Boa,Media,Concreto Vazado,Boa,Media,970.0,1739,3,1,7,2.0,480.0,2009,172500.0
58,60,Residencial_Baixa,89.0,11645,Pavimentada,Esquina,CollgCr,Casa Unifamiliar,Dois Andar,7,5,2004,2004,Boa,Media,Concreto Vazado,Boa,Media,860.0,1720,3,1,7,2.0,565.0,2006,196500.0
60,20,Residencial_Baixa,60.0,7200,Pavimentada,Interno,CollgCr,Casa Unifamiliar,Um Andar,5,7,1972,1972,Media,Media,Blocos de Concreto,Media,Media,780.0,780,2,1,4,1.0,352.0,2008,124900.0
61,20,Residencial_Baixa,63.0,13072,Pavimentada,Interno,SawyerW,Casa Unifamiliar,Um Andar,6,5,2004,2004,Media,Media,Concreto Vazado,Boa,Media,1158.0,1158,3,1,5,2.0,576.0,2006,158000.0
62,75,Residencial_Media,60.0,7200,Pavimentada,Interno,IDOTRR,Casa Unifamiliar,Dois e Meio Andar Inacabado,5,7,1920,1996,Media,Media,Tijolos e Pedra,Media,Razoavel,530.0,1111,3,1,6,1.0,288.0,2007,101000.0
63,120,Residencial_Baixa,44.0,6442,Pavimentada,Interno,NridgHt,Casa Geminada - final fileira,Um Andar,8,5,2006,2006,Boa,Media,Concreto Vazado,Boa,Boa,1370.0,1370,2,1,6,2.0,484.0,2007,202500.0
64,70,Residencial_Media,50.0,10300,Pavimentada,Interno,OldTown,Casa Unifamiliar,Dois Andar,7,6,1921,1950,Media,Media,Tijolos e Pedra,Media,Media,576.0,1710,3,1,9,2.0,480.0,2010,140000.0
65,60,Residencial_Baixa,,9375,Pavimentada,Interno,CollgCr,Casa Unifamiliar,Dois Andar,7,5,1997,1998,Media,Media,Concreto Vazado,Boa,Media,1057.0,2034,3,1,8,2.0,645.0,2009,219500.0
66,60,Residencial_Baixa,76.0,9591,Pavimentada,Interno,NridgHt,Casa Unifamiliar,Dois Andar,8,5,2004,2005,Boa,Media,Concreto Vazado,Excelente,Media,1143.0,2473,4,1,9,3.0,852.0,2007,317000.0
67,20,Residencial_Baixa,,19900,Pavimentada,Interno,NAmes,Casa Unifamiliar,Um Andar,7,5,1970,1989,Media,Media,Blocos de Concreto,Boa,Media,1947.0,2207,3,1,7,2.0,576.0,2010,180000.0
68,20,Residencial_Baixa,72.0,10665,Pavimentada,Interno,CollgCr,Casa Unifamiliar,Um Andar,7,5,2003,2003,Boa,Media,Concreto Vazado,Boa,Media,1453.0,1479,3,1,7,2.0,558.0,2007,226000.0
69,30,Residencial_Media,47.0,4608,Pavimentada,Esquina,OldTown,Casa Unifamiliar,Um Andar,4,6,1945,1950,Media,Boa,Blocos de Concreto,Media,Media,747.0,747,2,1,4,1.0,220.0,2010,80000.0
70,50,Residencial_Baixa,81.0,15593,Pavimentada,Esquina,ClearCr,Casa Unifamiliar,Um e Meio Andar Finalizado,7,4,1953,1953,Boa,Media,Blocos de Concreto,Media,Media,1304.0,2287,3,1,7,2.0,667.0,2006,225000.0
71,20,Residencial_Baixa,95.0,13651,Pavimentada,Interno,NAmes,Casa Unifamiliar,Um Andar,7,6,1973,1973,Media,Boa,Blocos de Concreto,Boa,Media,2223.0,2223,3,1,8,2.0,516.0,2007,244000.0
72,20,Residencial_Baixa,69.0,7599,Pavimentada,Esquina,Mitchel,Casa Unifamiliar,Um Andar,4,6,1982,2006,Media,Media,Blocos de Concreto,Media,Media,845.0,845,2,1,4,2.0,360.0,2007,129500.0
73,60,Residencial_Baixa,74.0,10141,Pavimentada,Esquina,Gilbert,Casa Unifamiliar,Dois Andar,7,5,1998,1998,Media,Media,Concreto Vazado,Boa,Media,832.0,1718,3,1,7,2.0,427.0,2009,185000.0
74,20,Residencial_Baixa,85.0,10200,Pavimentada,Interno,NAmes,Casa Unifamiliar,Um Andar,5,7,1954,2003,Media,Media,Blocos de Concreto,Media,Media,1086.0,1086,3,1,6,2.0,490.0,2010,144900.0
75,50,Residencial_Media,60.0,5790,Pavimentada,Esquina,OldTown,Casa Unifamiliar,Dois Andar,3,6,1915,1950,Boa,Boa,Blocos de Concreto,Razoavel,Media,840.0,1605,3,2,8,1.0,379.0,2010,107400.0
76,180,Residencial_Media,21.0,1596,Pavimentada,Interno,MeadowV,Casa Geminada - meio de fileira,Nivel Dividido,4,5,1973,1973,Media,Media,Blocos de Concreto,Boa,Media,462.0,988,2,1,5,1.0,297.0,2009,91000.0
77,20,Residencial_Baixa,,8475,Pavimentada,Interno,NAmes,Casa Unifamiliar,Um Andar,4,7,1956,1956,Media,Media,Blocos de Concreto,Media,Media,952.0,952,2,1,4,1.0,283.0,2008,135750.0
78,50,Residencial_Media,50.0,8635,Pavimentada,Interno,BrkSide,Casa Unifamiliar,Um e Meio Andar Finalizado,5,5,1948,2001,Media,Media,Blocos de Concreto,Media,Media,672.0,1285,2,1,6,1.0,240.0,2008,127000.0
79,90,Residencial_Baixa,72.0,10778,Pavimentada,Interno,Sawyer,Duplex,Um Andar,4,5,1968,1968,Media,Media,Blocos de Concreto,Media,Media,1768.0,1768,4,2,8,0.0,0.0,2010,136500.0
80,50,Residencial_Media,60.0,10440,Pavimentada,Esquina,OldTown,Casa Unifamiliar,Dois Andar,5,6,1910,1981,Media,Media,Concreto Vazado,Media,Media,440.0,1230,2,1,5,2.0,440.0,2009,110000.0
81,60,Residencial_Baixa,100.0,13000,Pavimentada,Esquina,NAmes,Casa Unifamiliar,Dois Andar,6,6,1968,1968,Media,Boa,Blocos de Concreto,Boa,Media,896.0,2142,4,1,8,1.0,509.0,2009,193500.0
82,120,Residencial_Media,32.0,4500,Pavimentada,Frente Dupla,Mitchel,Casa Geminada - final fileira,Um Andar,6,5,1998,1998,Media,Boa,Concreto Vazado,Excelente,Boa,1237.0,1337,2,1,5,2.0,405.0,2006,153500.0
83,20,Residencial_Baixa,78.0,10206,Pavimentada,Interno,Somerst,Casa Unifamiliar,Um Andar,8,5,2007,2007,Media,Media,Concreto Vazado,Boa,Media,1563.0,1563,3,1,6,3.0,758.0,2008,245000.0
84,20,Residencial_Baixa,80.0,8892,Pavimentada,Interno,NAmes,Casa Unifamiliar,Um Andar,5,5,1960,1960,Media,Media,Blocos de Concreto,Media,Media,1065.0,1065,3,1,6,2.0,461.0,2007,126500.0
85,80,Residencial_Baixa,,8530,Pavimentada,Interno,Gilbert,Casa Unifamiliar,Nivel Dividido,7,5,1995,1996,Media,Media,Concreto Vazado,Boa,Media,384.0,1474,3,1,7,2.0,400.0,2009,168500.0
86,60,Residencial_Baixa,121.0,16059,Pavimentada,Esquina,NoRidge,Casa Unifamiliar,Dois Andar,8,5,1991,1992,Boa,Media,Blocos de Concreto,Boa,Media,1288.0,2417,4,1,9,2.0,462.0,2006,260000.0
87,60,Residencial_Baixa,122.0,11911,Pavimentada,Interno,Gilbert,Casa Unifamiliar,Dois Andar,6,5,2005,2005,Boa,Media,Concreto Vazado,Boa,Media,684.0,1560,3,1,6,2.0,400.0,2009,174000.0
88,160,Residencial_Alta_Vila,40.0,3951,Pavimentada,Esquina,Somerst,Casa Geminada - final fileira,Dois Andar,6,5,2009,2009,Boa,Media,Concreto Vazado,Boa,Media,612.0,1224,2,1,4,2.0,528.0,2009,164500.0
89,50,Comercial,105.0,8470,Pavimentada,Esquina,IDOTRR,Casa Unifamiliar,Um e Meio Andar Finalizado,3,2,1915,1982,Razoavel,Razoavel,Blocos de Concreto,Media,Razoavel,1013.0,1526,2,1,6,0.0,0.0,2009,85000.0
90,20,Residencial_Baixa,60.0,8070,Pavimentada,Interno,CollgCr,Casa Unifamiliar,Um Andar,4,5,1994,1995,Media,Media,Concreto Vazado,Boa,Media,990.0,990,3,1,5,0.0,0.0,2007,123600.0
91,20,Residencial_Baixa,60.0,7200,Pavimentada,Interno,NAmes,Casa Unifamiliar,Um Andar,4,5,1950,1950,Media,Media,Laje,,,0.0,1040,2,1,4,2.0,420.0,2006,109900.0
92,20,Residencial_Baixa,85.0,8500,Pavimentada,Interno,NAmes,Casa Unifamiliar,Um Andar,5,3,1961,1961,Media,Media,Blocos de Concreto,Media,Media,1235.0,1235,2,1,6,2.0,480.0,2006,98600.0
93,30,Residencial_Baixa,80.0,13360,Pavimentada,Interno,Crawfor,Casa Unifamiliar,Um Andar,5,7,1921,2006,Media,Boa,Tijolos e Pedra,Boa,Media,876.0,964,2,1,5,2.0,432.0,2009,163500.0
94,190,Comercial,60.0,7200,Pavimentada,Esquina,OldTown,Conversao duas familias,Dois e Meio Andar Inacabado,6,6,1910,1998,Media,Media,Tijolos e Pedra,Media,Razoavel,1214.0,2291,4,2,9,2.0,506.0,2007,133900.0
95,60,Residencial_Baixa,69.0,9337,Pavimentada,Interno,CollgCr,Casa Unifamiliar,Dois Andar,6,5,1997,1997,Media,Boa,Concreto Vazado,Boa,Media,824.0,1786,3,1,7,2.0,684.0,2007,204750.0
96,60,Residencial_Baixa,,9765,Pavimentada,Esquina,Gilbert,Casa Unifamiliar,Dois Andar,6,8,1993,1993,Excelente,Boa,Concreto Vazado,Boa,Boa,680.0,1470,3,1,6,2.0,420.0,2009,185000.0
97,20,Residencial_Baixa,78.0,10264,Pavimentada,Interno,CollgCr,Casa Unifamiliar,Um Andar,7,5,1999,1999,Boa,Media,Concreto Vazado,Boa,Media,1588.0,1588,3,1,6,2.0,472.0,2006,214000.0
98,20,Residencial_Baixa,73.0,10921,Pavimentada,Interno,Edwards,Casa Unifamiliar,Um Andar,4,5,1965,1965,Media,Media,Blocos de Concreto,Media,Media,960.0,960,3,1,6,1.0,432.0,2007,94750.0
99,30,Residencial_Baixa,85.0,10625,Pavimentada,Esquina,Edwards,Casa Unifamiliar,Um Andar,5,5,1920,1950,Media,Media,Tijolos e Pedra,Media,Media,458.0,835,2,1,5,1.0,366.0,2010,83000.0
100,20,Residencial_Baixa,77.0,9320,Pavimentada,Interno,NAmes,Casa Unifamiliar,Um Andar,4,5,1959,1959,Media,Media,Blocos de Concreto,Media,Media,950.0,1225,3,1,6,0.0,0.0,2010,128950.0
101,20,Residencial_Baixa,,10603,Pavimentada,Interno,NWAmes,Casa Unifamiliar,Um Andar,6,7,1977,2001,Media,Media,Concreto Vazado,Media,Media,1610.0,1610,3,1,6,2.0,480.0,2010,205000.0
102,60,Residencial_Baixa,77.0,9206,Pavimentada,Interno,SawyerW,Casa Unifamiliar,Dois Andar,6,5,1985,1985,Boa,Media,Blocos de Concreto,Boa,Media,741.0,1732,3,1,7,2.0,476.0,2010,178000.0
103,90,Residencial_Baixa,64.0,7018,Pavimentada,Interno,SawyerW,Duplex,Um Andar,5,5,1979,1979,Media,Razoavel,Laje,,,0.0,1535,4,2,8,2.0,410.0,2009,118964.0
104,20,Residencial_Baixa,94.0,10402,Pavimentada,Esquina,CollgCr,Casa Unifamiliar,Um Andar,7,5,2009,2009,Media,Media,Concreto Vazado,Boa,Media,1226.0,1226,3,1,6,3.0,740.0,2010,198900.0
105,50,Residencial_Media,,7758,Pavimentada,Esquina,IDOTRR,Casa Unifamiliar,Um e Meio Andar Finalizado,7,4,1931,1950,Media,Razoavel,Concreto Vazado,Media,Media,1040.0,1818,4,1,7,1.0,240.0,2007,169500.0
106,60,Residencial_Alta_Vila,75.0,9375,Pavimentada,Interno,Somerst,Casa Unifamiliar,Dois Andar,8,5,2003,2004,Boa,Media,Concreto Vazado,Excelente,Media,1053.0,1992,3,1,9,2.0,648.0,2008,250000.0
107,30,Residencial_Media,60.0,10800,Pavimentada,Interno,OldTown,Casa Unifamiliar,Um Andar,4,7,1885,1995,Media,Media,Tijolos e Pedra,Razoavel,Media,641.0,1047,2,1,6,1.0,273.0,2007,100000.0
108,20,Residencial_Media,50.0,6000,Pavimentada,Interno,OldTown,Casa Unifamiliar,Um Andar,5,5,1948,1950,Media,Media,Blocos de Concreto,Media,Media,789.0,789,2,1,5,1.0,250.0,2008,115000.0
109,50,Residencial_Media,85.0,8500,Pavimentada,Esquina,IDOTRR,Casa Unifamiliar,Um e Meio Andar Finalizado,5,7,1919,2005,Media,Media,Blocos de Concreto,Media,Media,793.0,1517,3,1,7,0.0,0.0,2007,115000.0
110,20,Residencial_Baixa,105.0,11751,Pavimentada,Interno,NWAmes,Casa Unifamiliar,Um Andar,6,6,1977,1977,Media,Media,Blocos de Concreto,Boa,Media,1844.0,1844,3,1,7,2.0,546.0,2010,190000.0
111,50,Residencial_Baixa,75.0,9525,Pavimentada,Interno,Edwards,Casa Unifamiliar,Um e Meio Andar Finalizado,6,4,1954,1972,Media,Media,Blocos de Concreto,Media,Razoavel,994.0,1855,4,1,7,1.0,325.0,2006,136900.0
112,80,Residencial_Baixa,,7750,Pavimentada,Interno,Gilbert,Casa Unifamiliar,Nivel Dividido,7,5,2000,2000,Media,Media,Concreto Vazado,Boa,Media,384.0,1430,3,1,7,2.0,400.0,2010,180000.0
114,20,Residencial_Baixa,,21000,Pavimentada,Esquina,Crawfor,Casa Unifamiliar,Um Andar,6,5,1953,1953,Media,Boa,Blocos de Concreto,Boa,Media,1809.0,2259,3,1,7,2.0,450.0,2007,217000.0
115,70,Residencial_Baixa,61.0,7259,Pavimentada,Interno,Crawfor,Casa Unifamiliar,Dois Andar,6,8,1945,2002,Media,Media,Blocos de Concreto,Media,Media,1028.0,2320,3,1,9,1.0,180.0,2007,259500.0
116,160,Residencial_Alta_Vila,34.0,3230,Pavimentada,Esquina,Somerst,Casa Geminada - final fileira,Dois Andar,6,5,1999,1999,Media,Media,Concreto Vazado,Boa,Media,729.0,1458,2,1,5,2.0,440.0,2007,176000.0
117,20,Residencial_Baixa,,11616,Pavimentada,Interno,Sawyer,Casa Unifamiliar,Um Andar,5,5,1962,1962,Media,Media,Blocos de Concreto,Media,Media,1092.0,1092,3,1,6,1.0,288.0,2009,139000.0
118,20,Residencial_Baixa,74.0,8536,Pavimentada,Esquina,Edwards,Casa Unifamiliar,Um Andar,5,5,2006,2007,Media,Media,Concreto Vazado,Boa,Media,1125.0,1125,2,1,5,2.0,430.0,2007,155000.0
119,60,Residencial_Baixa,90.0,12376,Pavimentada,Esquina,SawyerW,Casa Unifamiliar,Dois Andar,7,5,1990,1990,Media,Media,Concreto Vazado,Boa,Media,1673.0,3222,5,1,11,3.0,594.0,2010,320000.0
